"","Gemeinde","Gemeindeschluessel","Postleitzahl"
"12886","Kirchanschöring",9189127,"83329"
"12887","Gossel",16070023,"99338"
"12888","Bütow",13071023,"17209"
"12889","Essen",5113000,"45143"
"12890","Papendorf",13075104,"17309"
"12891","Bischofswiesen",9172117,"83487"
"12892","Winterlingen",8417075,"72510"
"12893","Datteln",5562008,"45731"
"12894","Bredenfelde",13071015,"17153"
"12895","Henstedt-Ulzburg",1060039,"22844"
"12896","Uppershausen",7232128,"54673"
"12897","Brandenburg an der Havel",12051000,"14789"
"12898","Berlin",11000000,"12439"
"12899","Alfdorf",8119001,"73642"
"12900","Steinbach",7140148,"56291"
"12901","Briggow",13071018,"17153"
"12902","Loop",1058098,"24644"
"12903","Leitzweiler",7134051,"55779"
"12904","Dalkendorf",13072024,"17166"
"12905","Wallbach",16066084,"98639"
"12906","Blaubach",7336006,"66869"
"12907","Pfungstadt",6432018,"64579"
"12908","Loddin",13075080,"17459"
"12909","Krogaspe",1058091,"24644"
"12910","Rukieten",13072090,"18258"
"12911","Ascha",9278116,"94377"
"12912","Niederbachheim",7141094,"56357"
"12913","Gipperath",7231036,"54533"
"12914","Reitzenhain",7141115,"56357"
"12915","Obernhof",7141103,"56379"
"12916","Hütterscheid",7232057,"54636"
"12917","Wilsecker",7232135,"54655"
"12918","Ratzert",7138058,"57614"
"12919","Niederbreitbach",7138047,"56589"
"12920","Frankfurt am Main",6412000,"60313"
"12921","Bedburg-Hau",5154004,"47533"
"12922","Obertiefenbach",7141104,"56357"
"12923","Karlsruhe",8212000,"76344"
"12924","Hamfelde",1062026,"22929"
"12925","Babensham",9187116,"83530"
"12926","Neckarwestheim",8125066,"74360"
"12927","Flein",8125030,"74388"
"12928","Grabowhöfe",13071047,"17194"
"12929","Gruibingen",8117028,"73347"
"12930","Tastrup",1059101,"24943"
"12931","Bad Homburg v.d. Höhe",6434001,"61440"
"12932","Blankenhagen",13072015,"18182"
"12933","Oberraden",7138054,"56587"
"12934","Dranske",13073019,"18556"
"12935","Brandenburg an der Havel",12051000,"14778"
"12936","Deggendorf",9271119,"94571"
"12937","Schiesheim",7141125,"65623"
"12938","Bermersheim vor der Höhe",7331008,"55234"
"12939","Ockenfels",7138055,"53545"
"12940","Hüttblek",1060042,"24629"
"12941","Blumenthal",1058018,"24241"
"12942","Piesau",16073066,"98724"
"12943","Spechbach",8226086,"74931"
"12944","Großvargula",16064019,"99958"
"12945","Glashütten",6434003,"61389"
"12946","Sievershütten",1060077,"24641"
"12947","Warlow",13076146,"19288"
"12948","Fürstenwalde/Spree",12067144,"15518"
"12949","Ruppertshofen",7141120,"56357"
"12950","Ditfurt",15085090,"06484"
"12951","Oberfischbach",7141101,"56370"
"12952","Oberwallmenach",7141105,"56357"
"12953","Murchin",13075094,"17406"
"12954","Fuchsstadt",9672124,"97762"
"12955","Suckow",13076132,"19376"
"12956","Roth",7141118,"56368"
"12957","Heilbronn",8121000,"74223"
"12958","Sienhachenbach",7134083,"55758"
"12959","Rosenheim (Landkreis Altenkirchen)",7132095,"57520"
"12960","Geldern",5154012,"47625"
"12961","Schmiechen",9771163,"86343"
"12962","Badenhard",7140005,"56291"
"12963","Denkendorf",8116015,"73760"
"12964","Osterheide",3358501,"29683"
"12965","Aura i. Sinngrund",9677116,"97773"
"12966","Kloster Tempzin",13076167,"19412"
"12967","Gabsheim",7331029,"55288"
"12968","Rheinsberg",12068353,"17252"
"12969","Allendorf",7141001,"56368"
"12970","Parkstein",9374144,"92637"
"12971","Dersau",1057015,"24326"
"12972","Ruttersdorf-Lotschen",16074081,"07646"
"12973","Mesenich",7135060,"56820"
"12974","Bad Essen",3459003,"32361"
"12975","Herbrechtingen",8135020,"89522"
"12976","Walldorf",16066085,"98639"
"12977","Plüderhausen",8119055,"73614"
"12978","Armstedt",1060003,"24616"
"12979","Herrenberg",8115021,"71154"
"12980","Tangstedt",1056047,"25499"
"12981","Flechtingen",15083230,"39345"
"12982","Benzweiler",7140011,"55494"
"12983","Bückeburg",3257009,"32423"
"12984","Groß Köris",12061192,"15754"
"12985","Sankt Aldegund",7135076,"56858"
"12986","Oberbösa",16065051,"99718"
"12987","Westermoor",1061109,"25597"
"12988","Bühlertann",8127012,"73494"
"12989","Röthlein",9678170,"97525"
"12990","Niedertiefenbach",7141096,"56368"
"12991","Volkerode",16061098,"37308"
"12992","Groß Siemz",13074029,"23923"
"12993","Zernitz-Lohm",12068501,"16845"
"12994","Birstein",6435004,"63699"
"12995","Dresden",14612000,"01445"
"12996","Biebesheim am Rhein",6433001,"64589"
"12997","Korb",8119041,"71364"
"12998","Fürth",6431007,"64668"
"12999","Herten",5562020,"45661"
"13000","Schülp b. Rendsburg",1058148,"24797"
"13001","Gammelin",13076041,"19230"
"13002","Kölbingen",7143249,"56459"
"13003","Hafenlohr",9677135,"97828"
"13004","Petersberg",16074067,"07616"
"13005","Essen",5113000,"42551"
"13006","Stuttgart",8111000,"70174"
"13007","Hochstätten",7133045,"55585"
"13008","Sulzbach-Laufen",8127079,"73453"
"13009","Gierschnach",7137030,"56294"
"13010","Beringstedt",1058015,"24819"
"13011","Niederhosenbach",7134059,"55758"
"13012","Duisburg",5112000,"47119"
"13013","Dambach",7134018,"55765"
"13014","Arft",7137006,"56729"
"13015","Bretten",8215007,"76646"
"13016","Steffenshagen",13072099,"18209"
"13017","Schellhorn",1057070,"24211"
"13018","Schauerberg",7340042,"66919"
"13019","Bornhagen",16061014,"37318"
"13020","Obersimten",7340036,"66957"
"13021","Asbach-Sickenberg",16061002,"37318"
"13022","Herbertingen",8437044,"88348"
"13023","Oberlauch",7232284,"54614"
"13024","Willmars",9673182,"97647"
"13025","Aue-Bad Schlema",14521035,"08280"
"13026","Güby",1058067,"24357"
"13027","Bad Belzig",12069020,"14822"
"13028","Reipoltskirchen",7336085,"67753"
"13029","Aschaffenburg",9661000,"63867"
"13030","Erpel",7138019,"53560"
"13031","Kiel",1002000,"24148"
"13032","Großbottwar",8118021,"71711"
"13033","Gomadingen",8415027,"72525"
"13034","Schlehdorf",9173142,"82439"
"13035","Hamburg",2000000,"22769"
"13036","Düsseldorf",5111000,"40477"
"13037","Bodelshausen",8416006,"72379"
"13038","Steimel",7138070,"57614"
"13039","Fichtenhöhe",12064130,"15326"
"13040","Krems II",1060050,"23827"
"13041","Weidenbach",7141134,"56355"
"13042","Taarstedt",1059086,"24864"
"13043","Sankt Goarshausen",7141121,"56346"
"13044","Winterwerb",7141140,"56355"
"13045","Düsseldorf",5111000,"40211"
"13046","Mönkloh",1060056,"24576"
"13047","Mainz",7315000,"55116"
"13048","Sulzbach",7141132,"56379"
"13049","Hebertsfelden",9277124,"84337"
"13050","Bad Kohlgrub",9180112,"82418"
"13051","Ronneburg",16076061,"04626"
"13052","Bruck",9175114,"85665"
"13053","Elzweiler",7336021,"66887"
"13054","Niederhofen",7138048,"56316"
"13055","Viereck",13075138,"17309"
"13056","Geisenheim",6439004,"65385"
"13057","Weinolsheim",7339064,"55278"
"13058","Rothemühl",13075118,"17379"
"13059","Frankfurt (Oder)",12053000,"15232"
"13060","Havekost",1053052,"21493"
"13061","Rosenkopf",7340223,"66894"
"13062","Düsseldorf",5111000,"40239"
"13063","Weyer",7141138,"56357"
"13064","Mahlberg",8317073,"77955"
"13065","Gundelsheim",9471137,"96117"
"13066","Lasbek",1062089,"23847"
"13067","Stuttgart",8111000,"70771"
"13068","Alt Zachun",13076002,"19230"
"13069","Storbeck-Frankendorf",12068413,"16818"
"13070","Gleisweiler",7337028,"76835"
"13071","Heeßen",3257012,"31711"
"13072","Jelmstorf",3360012,"29585"
"13073","Stürzelbach",7132109,"57614"
"13074","Altscheid",7232003,"54636"
"13075","Hamburg",2000000,"20535"
"13076","Seifen",7132104,"57632"
"13077","Leipzig",14713000,"04103"
"13078","Böhmenkirch",8117010,"73566"
"13079","Stuer",13071143,"17209"
"13080","Nieheim",5762028,"32839"
"13081","Düdenbüttel",3359014,"21709"
"13082","Bischofsheim",6433002,"65462"
"13083","Lochum",7143259,"57629"
"13084","Bollberg",16074006,"07646"
"13085","Crailsheim",8127014,"74592"
"13086","Hardebek",1060033,"24616"
"13087","Bischofswiesen",9172117,"83486"
"13088","Düren",5358008,"52372"
"13089","Gladbach",7231037,"54518"
"13090","Vaterstetten",9175132,"85630"
"13091","Sachsenhagen",3257033,"31556"
"13092","Aue-Bad Schlema",14521035,"08301"
"13093","Waldleiningen",7335048,"67693"
"13094","Eggenthal",9777124,"87782"
"13095","Köln",5315000,"50937"
"13096","Ingelheim am Rhein",7339030,"55262"
"13097","Friedrichsdorf",6434002,"61273"
"13098","Köln",5315000,"50676"
"13099","Brunow",13076021,"19372"
"13100","Engelskirchen",5374008,"51647"
"13101","Bad Nenndorf",3257006,"31555"
"13102","Moraas",13076099,"19230"
"13103","Irrhausen",7232245,"54689"
"13104","Dalberg",7133021,"55595"
"13105","Frankfurt am Main",6412000,"60431"
"13106","Hamburg",2000000,"22301"
"13107","Lustadt",7334018,"67366"
"13108","Schlüchtern",6435025,"36148"
"13109","Mönchengladbach",5116000,"41844"
"13110","Uckerland",12073579,"17335"
"13111","Eichstetten am Kaiserstuhl",8315030,"79235"
"13112","Emmendingen",8316011,"79331"
"13113","Reiffelbach",7133084,"67829"
"13114","Wörnersberg",8237072,"72299"
"13115","Mucheln",1057052,"24238"
"13116","Reitwein",12064420,"15328"
"13117","Plüderhausen",8119055,"73660"
"13118","Erlenbach bei Kandel",7334004,"76870"
"13119","Gaushorn",1051035,"25782"
"13120","Freistatt",3251018,"27259"
"13121","Haby",1058069,"24363"
"13122","Hinzweiler",7336042,"67756"
"13123","Köln",5315000,"51065"
"13124","Dogern",8337032,"79761"
"13125","Großheringen",16071022,"99518"
"13126","Oersberg",1059067,"24407"
"13127","Lütz",7135056,"56290"
"13128","Schorndorf",8119067,"73650"
"13129","Weitersweiler",7333081,"67808"
"13130","Rühstädt",12070348,"19322"
"13131","Abtsgmünd",8136002,"73572"
"13132","Hartmannsdorf",14522260,"09241"
"13133","Hergenfeld",7133044,"55452"
"13134","Berlin",11000000,"10179"
"13135","Alt-Mölln",1053002,"23881"
"13136","Hückeswagen",5374016,"51688"
"13137","Ralbitz-Rosenthal",14625500,"01920"
"13138","Barum",3360003,"29576"
"13139","Adelsried",9772111,"86486"
"13140","Jestetten",8337060,"79807"
"13141","Langlingen",3351017,"29364"
"13142","Dabergotz",12068072,"16818"
"13143","Wakendorf I",1060093,"23843"
"13144","Starzach",8416050,"72414"
"13145","Pinneberg",1056039,"25462"
"13146","Silz",13071138,"17214"
"13147","Ehrenberg",16069009,"98660"
"13148","Stuttgart",8111000,"70176"
"13149","Großkmehlen",12066104,"01945"
"13150","Altensteig",8235006,"72285"
"13151","Forbach",8216013,"72270"
"13152","Gaggenau",8216015,"76593"
"13153","Belg",7140007,"56858"
"13154","Beseritz",13071009,"17039"
"13155","Bad Dürkheim",7332002,"67468"
"13156","Blaufelden",8127008,"74595"
"13157","Cursdorf",16073013,"98744"
"13158","Liebstadt",14628230,"01825"
"13159","Boden",7143005,"56412"
"13160","Dissen am Teutoburger Wald",3459015,"49326"
"13161","Riveris",7235116,"54317"
"13162","Quiddelbach",7131066,"53518"
"13163","Bad Schlema",14521050,"08289"
"13164","Setzin",13076123,"19230"
"13165","Berlin",11000000,"13351"
"13166","Poggensee",1053099,"23896"
"13167","Bornholt",1058025,"25557"
"13168","Augsburg",9761000,"86356"
"13169","Leisnig",14522310,"04668"
"13170","Reinsdorf",16065056,"06556"
"13171","Köln",5315000,"50668"
"13172","Schwarzbach",16076068,"07589"
"13173","Igling",9181127,"86899"
"13174","Barmissen",1057002,"24245"
"13175","Eislingen/Fils",8117019,"73113"
"13176","Rosbach v.d. Höhe",6440023,"61381"
"13177","Leutersdorf",16066039,"98617"
"13178","Nürtingen",8116049,"72649"
"13179","Heidekamp",1062031,"23858"
"13180","Rühn",13072089,"18246"
"13181","Berkoth",7232011,"54673"
"13182","Hainburg",6438004,"63500"
"13183","Groß Luckow",13075042,"17337"
"13184","Ballstädt",16067003,"99869"
"13185","Köln",5315000,"50674"
"13186","Kentzlin",13071072,"17111"
"13187","Strotzbüsch",7233071,"54552"
"13188","Dodenburg",7231023,"54518"
"13189","Hoppenrade",13072048,"18292"
"13190","Schönhagen",16061084,"37318"
"13191","Kulmbach",9477128,"95336"
"13192","Südmüritz",13071176,"17207"
"13193","Nadrensee",13075095,"17329"
"13194","Reipeldingen",7232298,"54689"
"13195","Nordhalben",9476159,"96365"
"13196","Bammental",8226006,"69257"
"13197","Neunkirchen",7231093,"54426"
"13198","Reichenbach am Heuberg",8327040,"78564"
"13199","Schwerinsdorf",3457019,"26835"
"13200","Duisburg",5112000,"47447"
"13201","Oberöfflingen",7231100,"54533"
"13202","Berlin",11000000,"10319"
"13203","Friolzheim",8236019,"75233"
"13204","Seybothenreuth",9472188,"95466"
"13205","Berlin",11000000,"13587"
"13206","Griesstätt",9187134,"83543"
"13207","Flomborn",7331024,"55234"
"13208","Geislingen an der Steige",8117024,"89191"
"13209","Föckelberg",7336025,"66887"
"13210","Clausthal-Zellerfeld",3153018,"38707"
"13211","Düsseldorf",5111000,"40721"
"13212","Roßdorf",16066061,"98590"
"13213","Nieden",13075103,"17309"
"13214","Esslingen am Neckar",8116019,"73773"
"13215","Priborn",13071118,"17209"
"13216","Aschau i. Chiemgau",9187114,"83122"
"13217","Niederaichbach",9274156,"84109"
"13218","Crailsheim",8127014,"74594"
"13219","Grebenhain",6535007,"63679"
"13220","Holm",1054048,"25923"
"13221","Kelsterbach",6433007,"65479"
"13222","Aerzen",3252001,"31787"
"13223","Lautertal (Odenwald)",6431014,"64678"
"13224","Frankfurt am Main",6412000,"63263"
"13225","Salem",1053107,"23883"
"13226","Fisch",7235025,"54439"
"13227","Neunkirchen",10043114,"66450"
"13228","Lichtenau",8216028,"77866"
"13229","Hohenkirchen",16067039,"99885"
"13230","Bachenberg",7132004,"57610"
"13231","Ulm",8421000,"89275"
"13232","Burgwedel",3241004,"30900"
"13233","Gaugrehweiler",7333023,"67822"
"13234","Neef",7135068,"56858"
"13235","Bobenthal",7340001,"76891"
"13236","Abtsgmünd",8136002,"73434"
"13237","Beimerstetten",8425014,"89198"
"13238","Leubsdorf",7138037,"53562"
"13239","Hahnenbach",7133038,"55606"
"13240","Remscheid",5120000,"42369"
"13241","Affalterbach",8118001,"71576"
"13242","Aschau i. Chiemgau",9187114,"83112"
"13243","Darmstadt",6411000,"64283"
"13244","Neresheim",8136045,"73432"
"13245","Waldweiler",7235142,"54429"
"13246","Geilnau",7141045,"56379"
"13247","Eberswalde",12060052,"16230"
"13248","Düsseldorf",5111000,"40213"
"13249","Bischofsheim i.d. Rhön",9673117,"97653"
"13250","Dommershausen",7140202,"56288"
"13251","Sören",1058153,"24241"
"13252","Dackscheid",7232211,"54649"
"13253","Kaltenborn",7131037,"53520"
"13254","Pleizenhausen",7140118,"55469"
"13255","Lohnweiler",7336060,"67744"
"13256","Neißeaue",14626330,"02829"
"13257","Mötzing",9375171,"93104"
"13258","Altena",5962004,"58769"
"13259","Hinte",3452011,"26736"
"13260","Großderschau",12063112,"16845"
"13261","Berlin",11000000,"10407"
"13262","Gönnersdorf",7131025,"53498"
"13263","Sondheim v.d. Rhön",9673167,"97647"
"13264","Kittendorf",13071074,"17153"
"13265","Baltmannsweiler",8116007,"73669"
"13266","Silberhausen",16061087,"37351"
"13267","Klocksin",13071078,"17194"
"13268","Quirnbach/Pfalz",7336501,"66909"
"13269","Pittenbach",7232292,"54595"
"13270","Etgert",7231032,"54424"
"13271","Kleinneuhausen",16068033,"99625"
"13272","Glasin",13074023,"23992"
"13273","Zimmerschied",7141141,"56379"
"13274","Sterley",1053123,"23883"
"13275","Hennef (Sieg)",5382020,"53567"
"13276","Waldstetten",9774191,"89335"
"13277","Feusdorf",7233023,"54584"
"13278","Harmstorf",3353017,"21228"
"13279","Neuharlingersiel",3462010,"26427"
"13280","Hähnichen",14626160,"02956"
"13281","Gonbach",7333027,"67724"
"13282","Dorf Mecklenburg",13074019,"23970"
"13283","Hartmannsdorf",16076026,"07586"
"13284","Dieterode",16061023,"37318"
"13285","Ringleben",16068045,"99189"
"13286","Marschacht",3353023,"21395"
"13287","Neresheim",8136045,"73441"
"13288","Köln",5315000,"50354"
"13289","Köln",5315000,"50670"
"13290","Gerstetten",8135015,"89542"
"13291","Mainz",7315000,"55118"
"13292","Kreuzebra",16061061,"37351"
"13293","Frankfurt (Oder)",12053000,"15230"
"13294","Warlitz",13076145,"19230"
"13295","Stuttgart",8111000,"71065"
"13296","Holzkirch",8425062,"89183"
"13297","Bessenbach",9671112,"63846"
"13298","Wieden",8336096,"79695"
"13299","Magstadt",8115029,"71067"
"13300","Kolkerheide",1054071,"25862"
"13301","Erzhausen",6432006,"63329"
"13302","Achtelsbach",7134002,"55767"
"13303","Hummelshain",16074042,"07768"
"13304","Gallin",13076039,"19258"
"13305","Frankenthal (Pfalz)",7311000,"67240"
"13306","Buchenberg",9780117,"87487"
"13307","Bremen",4011000,"27568"
"13308","Böblingen",8115003,"71069"
"13309","Eschede",3351025,"29359"
"13310","Doberschau-Gaußig",14625110,"01877"
"13311","Bärenthal",8327004,"78580"
"13312","Fredeburg",1053030,"23909"
"13313","Dunningen",8325014,"78713"
"13314","Oberhaching",9184134,"82064"
"13315","Hohengandern",16061048,"37318"
"13316","Pörmitz",16075084,"07907"
"13317","Gomadingen",8415027,"72531"
"13318","Altenmoor",1061004,"25335"
"13319","Fürth",6431007,"64385"
"13320","Nebelschütz",14625350,"01920"
"13321","Freimersheim",7331027,"55234"
"13322","Großheubach",9676125,"63925"
"13323","Ringleben",16065057,"06567"
"13324","Ballrechten-Dottingen",8315008,"79423"
"13325","Düsseldorf",5111000,"40479"
"13326","St. Gangloff",16074093,"07629"
"13327","Wehnde",16061103,"37339"
"13328","Lübesse",13076086,"19077"
"13329","Schwerstedt",16068049,"99634"
"13330","Lengfeld",16069026,"98660"
"13331","Lauperath",7232258,"54649"
"13332","Hornstorf",13074034,"23970"
"13333","Hasel",8336034,"79650"
"13334","Rechtsupweg",3452022,"26529"
"13335","Diedorf",9772130,"86497"
"13336","Sulzbachtal",7335046,"67734"
"13337","Egmating",9175116,"85667"
"13338","Kail",7135044,"56829"
"13339","Rausdorf",1062058,"22969"
"13340","Köln",5315000,"50969"
"13341","Binsfeld",7231010,"54518"
"13342","Eilscheid",7232217,"54649"
"13343","Dambeck",13076027,"19357"
"13344","Remagen",7131070,"53572"
"13345","Mannebach",7235082,"54441"
"13346","Bad Iburg",3459004,"49196"
"13347","Lohheide",3351501,"29303"
"13348","Schönefeld",12061433,"15831"
"13349","Rauschenberg",6534017,"35119"
"13350","Fehrbellin",12068117,"16845"
"13351","Lichte",16073049,"98724"
"13352","Unstruttal",16064071,"99996"
"13353","Bergfeld",3151003,"38467"
"13354","Kirchweiler",7233039,"54570"
"13355","Freisen",10046111,"66606"
"13356","Rudersdorf",16068046,"99628"
"13357","Beckingen",10042111,"66780"
"13358","Düsseldorf",5111000,"40476"
"13359","Delmenhorst",3401000,"27777"
"13360","Kusterdingen",8416023,"72074"
"13361","Rieps",13074066,"19217"
"13362","Mözen",1060057,"23795"
"13363","Heidesheim am Rhein",7339027,"55263"
"13364","Ettal",9180115,"82488"
"13365","Altefähr",13073003,"18573"
"13366","Berlin",11000000,"10367"
"13367","Köln",5315000,"50672"
"13368","Kindelbrück",16068064,"06578"
"13369","Wiefelstede",3451008,"26316"
"13370","Berlin",11000000,"10587"
"13371","Bretzenheim",7133018,"55450"
"13372","Ibbenbüren",5566028,"49509"
"13373","Crailsheim",8127014,"74589"
"13374","Waging a. See",9189162,"83367"
"13375","Aachen",5334002,"52062"
"13376","Tegau",16075109,"07907"
"13377","Thörlingen",7140149,"56291"
"13378","Bühren",3159008,"37127"
"13379","Göschitz",16075034,"07907"
"13380","Remscheid",5120000,"42349"
"13381","Hümpfershausen",16066033,"98634"
"13382","Tottleben",16064062,"99947"
"13383","Borken",5554012,"46348"
"13384","Frömmstedt",16068012,"99638"
"13385","Rotterode",16066062,"98587"
"13386","Achim",3361001,"28876"
"13387","Rothselberg",7336087,"67753"
"13388","Andernach",7137003,"56575"
"13389","Barenburg",3251004,"27259"
"13390","Frankenhardt",8127103,"74597"
"13391","Kiel",1002000,"24116"
"13392","Marlow",13073055,"18334"
"13393","Asperg",8118003,"71636"
"13394","Derschen",7132019,"57520"
"13395","Ehingen",9571141,"91726"
"13396","Westerhever",1054150,"25881"
"13397","Dillenburg",6532006,"35686"
"13398","Müden (Mosel)",7135066,"56254"
"13399","Drage",1061024,"25582"
"13400","Kritzow",13076077,"19386"
"13401","Täferrot",8136070,"73527"
"13402","Herborn",6532012,"35764"
"13403","Rudersberg",8119061,"73642"
"13404","Grävenwiesbach",6434004,"61276"
"13405","Köln",5315000,"50677"
"13406","Boos",7133014,"55585"
"13407","Ellwangen (Jagst)",8136019,"73491"
"13408","Quendorf",3456018,"48465"
"13409","Dischingen",8135010,"89564"
"13410","München",9162000,"80337"
"13411","Berlin",11000000,"10627"
"13412","München",9162000,"85540"
"13413","Obergröningen",8136049,"73453"
"13414","Barleben",15083040,"39326"
"13415","Kasseedorf",1055024,"23744"
"13416","Crailsheim",8127014,"74586"
"13417","Beimerstetten",8425014,"89182"
"13418","Ellersleben",16068008,"99628"
"13419","Munster",3358016,"29565"
"13420","Musweiler",7231091,"54534"
"13421","Breitnau",8315016,"79256"
"13422","Darmstadt",6411000,"64347"
"13423","Ürzig",7231125,"54539"
"13424","Haan",5158008,"40822"
"13425","Burbach",7232210,"54597"
"13426","Kerschenbach",7233219,"54589"
"13427","Tschirn",9476182,"96367"
"13428","Neuler",8136046,"73479"
"13429","Fischbachtal",6432007,"64397"
"13430","Krummin",13075072,"17440"
"13431","Asselfingen",8425011,"89192"
"13432","Breit",7231202,"54426"
"13433","Silzen",1061100,"25551"
"13434","Wiesenthal",16063086,"36466"
"13435","Pätow-Steegen",13076110,"19230"
"13436","Brieden",7135014,"56829"
"13437","Frankfurt am Main",6412000,"60318"
"13438","Warburg",5762036,"34396"
"13439","Bermatingen",8435005,"88677"
"13440","Sensweiler",7134081,"55758"
"13441","Wahlenau",7140159,"55491"
"13442","Schrozberg",8127075,"97996"
"13443","Heygendorf",16065035,"06556"
"13444","Jachenau",9173131,"82432"
"13445","Waldrohrbach",7337081,"76857"
"13446","Grabow-Below",13071046,"17209"
"13447","Böbing",9190117,"82401"
"13448","Bechstedtstraß",16071006,"99428"
"13449","Weiler bei Monzingen",7133111,"55627"
"13450","Teldau",13076136,"19273"
"13451","Naurath (Wald)",7235092,"54426"
"13452","Kramerhof",13073046,"18437"
"13453","Mützenich",7232271,"54608"
"13454","Lascheid",7232255,"54597"
"13455","Berlin",11000000,"10439"
"13456","Wellen",7235146,"54441"
"13457","Elzach",8316010,"78136"
"13458","Blumenholz",13071012,"17235"
"13459","Bröbberow",13072018,"18258"
"13460","Volkmannsdorf",16075119,"07924"
"13461","Eschweiler",5334012,"52224"
"13462","Lipprechterode",16062033,"99752"
"13463","Rahden",5770040,"32351"
"13464","Lohnsfeld",7333042,"67722"
"13465","Alfstedt",3357002,"27432"
"13466","Siggelkow",13076125,"19376"
"13467","Alzenau",9671111,"63776"
"13468","Oldenbüttel",1058119,"25557"
"13469","Nienhagen",3351018,"29339"
"13470","Hüttenberg",6532014,"35580"
"13471","Rettershain",7141116,"56357"
"13472","Gribow",13075040,"17506"
"13473","Altenbamberg",7133003,"55585"
"13474","Buchenbach",8315020,"79271"
"13475","Löffingen",8315070,"78199"
"13476","Börnichen/Erzgeb.",14521090,"09579"
"13477","Quickborn",1051089,"25712"
"13478","Bad Salzungen",16063003,"36460"
"13479","Hausen",9474134,"91336"
"13480","Vollmersweiler",7334031,"76744"
"13481","Todtnau",8336087,"79872"
"13482","Mayen",7137068,"56729"
"13483","Riedstadt",6433011,"55276"
"13484","Pfaffenhofen",8125081,"74374"
"13485","Warthausen",8426128,"88433"
"13486","Frettenheim",7331028,"67596"
"13487","Alkersleben",16070001,"99310"
"13488","Rödinghausen",5758028,"32361"
"13489","Oberried",8315084,"79674"
"13490","Stemshorn",3251036,"32351"
"13491","Naurath (Eifel)",7235091,"54340"
"13492","Wilster",1061113,"25554"
"13493","Barntrup",5766012,"32825"
"13494","Berlin",11000000,"10825"
"13495","Hetschburg",16071031,"99438"
"13496","Vollrathsruhe",13071154,"17194"
"13497","Schindhard",7340043,"76887"
"13498","Aschau i. Chiemgau",9187114,"83259"
"13499","Bahlingen am Kaiserstuhl",8316002,"79359"
"13500","Dorstadt",3158010,"38312"
"13501","Horbach",7133047,"55606"
"13502","Südheide",3351026,"29303"
"13503","Fambach",16066022,"98574"
"13504","Bruchköbel",6435006,"63526"
"13505","Friesenhagen",7132037,"57548"
"13506","Adelsheim",8225001,"74706"
"13507","Deesbach",16073014,"98744"
"13508","Bessenbach",9671112,"63768"
"13509","Wuppertal",5124000,"42489"
"13510","Schlegel",16075097,"07366"
"13511","Taben-Rodt",7235131,"54441"
"13512","Neuenrade",5962048,"58791"
"13513","Maitenbeth",9183126,"83544"
"13514","Metzingen",8415050,"72585"
"13515","Heiligenberg",8435020,"88634"
"13516","Hermsdorf/Erzgeb.",14628170,"01776"
"13517","Kirchheim",16070031,"99102"
"13518","Büchenbach",9576117,"91154"
"13519","Elben",7132024,"57580"
"13520","Metzels",16066044,"98639"
"13521","Ditscheid",7137019,"56729"
"13522","Rossin",13075116,"17398"
"13523","Dernbach",7337017,"76857"
"13524","Pingelshagen",13074062,"19069"
"13525","Diefenbach",7231020,"54538"
"13526","Lüssow",13072069,"18276"
"13527","Dedenbach",7131016,"53426"
"13528","Schindhard",7340043,"76891"
"13529","Biersdorf am See",7232015,"54636"
"13530","Arkebek",1051002,"25767"
"13531","Lietzow",13073049,"18528"
"13532","Stuttgart",8111000,"70629"
"13533","Kinding",9176137,"85135"
"13534","Bermersheim",7331009,"67593"
"13535","Essen",5113000,"45475"
"13536","Etschberg",7336024,"66871"
"13537","Ortenberg",6440019,"63697"
"13538","Pöschendorf",1061085,"25560"
"13539","Gieleroth",7132040,"57610"
"13540","Allmannsweiler",8426006,"88348"
"13541","Erkheim",9778136,"87784"
"13542","Daldorf",1060016,"24635"
"13543","Buchholz (Forstgutsbez.)",1060014,"23812"
"13544","Beelitz",12069017,"14822"
"13545","Unterensingen",8116068,"73240"
"13546","Forst (Hunsrück)",7135032,"56858"
"13547","Hatzenbühl",7334009,"76764"
"13548","Dollern",3359012,"21739"
"13549","Sinspelt",7232122,"54675"
"13550","Olbersleben",16068038,"99628"
"13551","Haltern am See",5562016,"45772"
"13552","Giershausen",7132041,"57632"
"13553","Berlin",11000000,"10963"
"13554","Essen",5113000,"45128"
"13555","Datzetal",13071028,"17099"
"13556","Breitenau",7143006,"56237"
"13557","Langenbach bei Kirburg",7143253,"57520"
"13558","Eßbach",16075023,"07924"
"13559","Bockhorst",3454004,"26903"
"13560","Zepelin",13072120,"18246"
"13561","Solingen",5122000,"42781"
"13562","Berod bei Hachenburg",7132201,"57614"
"13563","Steinen",7143075,"56244"
"13564","Hilpoltstein",9576127,"91154"
"13565","Essen",5113000,"46117"
"13566","Kleinsteinhausen",7340214,"66484"
"13567","Volkesfeld",7137106,"56745"
"13568","Bonn",5314000,"53844"
"13569","Halver",5962012,"58566"
"13570","Rodershausen",7232110,"54673"
"13571","Isterberg",3456010,"48465"
"13572","Muggensturm",8216033,"76437"
"13573","Börfink",7134011,"54422"
"13574","Dornheim",16070008,"99310"
"13575","Diedrichshagen",13075028,"17498"
"13576","Molbergen",3453012,"49661"
"13577","Alsbach-Hähnlein",6432001,"64404"
