"","Gemeinde","Gemeindeschluessel","Postleitzahl"
"334","Jettingen-Scheppach",9774144,"89343"
"335","Heiligenhafen",1055021,"23774"
"336","Hagen",5914000,"58093"
"337","Leipzig",14713000,"04329"
"338","Salzhemmendorf",3252008,"31020"
"339","Delmenhorst",3401000,"27751"
"340","Medebach",5958028,"59964"
"341","Schortens",3455015,"26419"
"342","Kriebitzsch",16077022,"04617"
"343","Zeitz",15084590,"06712"
"344","Kehl",8317057,"77694"
"345","Frohburg",14729140,"04654"
"346","Bahrenborstel",3251003,"27245"
"347","Neustadt an der Weinstraße",7316000,"67433"
"348","Wiedemar",14730340,"04509"
"349","Hengersberg",9271125,"94491"
"350","Balzheim",8425140,"88481"
"351","Waldkappel",6636012,"37284"
"352","Bernstadt",8425019,"89182"
"353","Aachen",5334002,"52078"
"354","Riedenberg",9672145,"97792"
"355","Oelde",5570028,"59302"
"356","Oranienburg",12065256,"16515"
"357","Althüttendorf",12060012,"16247"
"358","Kipfenberg",9176138,"85110"
"359","Schefflenz",8225115,"74850"
"360","Iven",13075053,"17391"
"361","Ganderkesee",3458005,"27777"
"362","Hattingen",5954016,"45527"
"363","Gimbsheim",7331034,"67578"
"364","Voerde (Niederrhein)",5170044,"46562"
"365","Buchdorf",9779126,"86675"
"366","Beselich",6533001,"65614"
"367","Groß-Zimmern",6432011,"64846"
"368","Mühldorf a. Inn",9183128,"84453"
"369","Bad Frankenhausen/Kyffhäuser",16065003,"06567"
"370","Winzer",9271153,"94577"
"371","Zetel",3455027,"26340"
"372","Borken",5554012,"46325"
"373","Winterberg",5958048,"59955"
"374","Reken",5554044,"48734"
"375","Frankenthal (Pfalz)",7311000,"67227"
"376","Baunatal",6633003,"34225"
"377","Moosburg a.d. Isar",9178143,"85368"
"378","Baden-Baden",8211000,"76547"
"379","Nabburg",9376144,"92507"
"380","Stockstadt am Rhein",6433013,"64589"
"381","Lünen",5978024,"44536"
"382","Vaterstetten",9175132,"85591"
"383","Schwäbisch Hall",8127076,"74523"
"384","Krefeld",5114000,"47803"
"385","Meißen",14627140,"01662"
"386","Northeim",3155011,"37154"
"387","Ellwangen (Jagst)",8136019,"73479"
"388","Arnstadt",16070004,"99310"
"389","Heidelberg",8221000,"69124"
"390","Allstedt",15087015,"06542"
"391","Tarmstedt",3357047,"27412"
"392","Jüchen",5162012,"41363"
"393","Möhnesee",5974032,"59519"
"394","Velden",9274183,"84149"
"395","Krautheim",8126045,"74238"
"396","Briedel",7135013,"56867"
"397","Everswinkel",5570024,"48351"
"398","Röhrnbach",9272141,"94133"
"399","Stutensee",8215109,"76297"
"400","Oberhausen",5119000,"46149"
"401","Gengenbach",8317034,"77723"
"402","Rossau",14522500,"09661"
"403","Oedheim",8125078,"74229"
"404","Sternenfels",8236061,"75447"
"405","Motten",9672134,"97786"
"406","Salzatal",15088319,"06198"
"407","Stendal",15090535,"39576"
"408","Gangkofen",9277121,"84140"
"409","Hammelburg",9672127,"97762"
"410","Trier",7211000,"54292"
"411","Hattersheim am Main",6436005,"65795"
"412","Hessisch Lichtenau",6636006,"37235"
"413","Nieder-Olm",7339042,"55268"
"414","Ergoldsbach",9274127,"84061"
"415","Neustadt (Hessen)",6534016,"35279"
"416","Bad Freienwalde (Oder)",12064044,"16259"
"417","Falkenstein",9372125,"93167"
"418","Süderlügum",1054131,"25923"
"419","Steinheim",5762032,"32839"
"420","Weitramsdorf",9473175,"96479"
"421","Stockheim",9673170,"97640"
"422","Holle",3254022,"31188"
"423","Hasselroth",6435015,"63594"
"424","Lippstadt",5974028,"59555"
"425","Kraiburg a. Inn",9183124,"84559"
"426","Marne",1051072,"25709"
"427","Taunusstein",6439015,"65232"
"428","Buch a. Buchrain",9177114,"85656"
"429","Assamstadt",8128006,"97959"
"430","Auerbach i.d. OPf.",9371113,"91275"
"431","Deggenhausertal",8435067,"88693"
"432","Merzen",3459026,"49586"
"433","Hamburg",2000000,"22457"
"434","Rheinstetten",8215108,"76287"
"435","Hainburg",6438004,"63512"
"436","Schwalbach am Taunus",6436011,"65824"
"437","Mallersdorf-Pfaffenberg",9278148,"84066"
"438","Löhne",5758024,"32584"
"439","Trossingen",8327049,"78647"
"440","Bretzfeld",8126011,"74626"
"441","Karlsfeld",9174126,"85757"
"442","Halstenbek",1056018,"25469"
"443","Dachau",9174115,"85221"
"444","Leinefelde-Worbis",16061115,"37327"
"445","Petershagen",5770028,"32469"
"446","Lauterbach (Hessen)",6535011,"36341"
"447","Kaisheim",9779169,"86687"
"448","Gemmingen",8125034,"75050"
"449","Ellwangen (Jagst)",8136019,"73463"
"450","Delbrück",5774020,"33129"
"451","Gelsenkirchen",5513000,"45899"
"452","Ibbenbüren",5566028,"49477"
"453","Kronach",9476145,"96369"
"454","Bad König",6437001,"64732"
"455","Anröchte",5974004,"59609"
"456","Montabaur",7143048,"56410"
"457","Krummhörn",3452014,"26736"
"458","Oldenburg (Oldb)",3403000,"26133"
"459","Gudensberg",6634007,"34281"
"460","Bad Saulgau",8437100,"88348"
"461","Dipperz",6631003,"36160"
"462","Hünstetten",6439007,"65510"
"463","Uedem",5154056,"47589"
"464","Riedstadt",6433011,"64560"
"465","Ramsthal",9672142,"97729"
"466","Heilbronn",8121000,"74080"
"467","Gevelsberg",5954012,"58285"
"468","Pritzwalk",12070316,"16928"
"469","Höchenschwand",8337051,"79862"
"470","Dorsten",5562012,"46286"
"471","Gomaringen",8416015,"72810"
"472","Aken (Elbe)",15082005,"06385"
"473","Gladbeck",5562014,"45964"
"474","Rodenäs",1054110,"25924"
"475","Thiersheim",9479158,"95707"
"476","Eitelborn",7143013,"56337"
"477","Hofgeismar",6633013,"34369"
"478","Stuttgart",8111000,"70597"
"479","Fürstenzell",9275122,"94081"
"480","Schwerin",13004000,"19061"
"481","Kirn",7133052,"55606"
"482","Wonneberg",9189165,"83379"
"483","Neukirchen",6634017,"34626"
"484","Grafenwöhr",9374124,"92655"
"485","Hilders",6631012,"36115"
"486","Wittmund",3462019,"26409"
"487","Netphen",5970032,"57250"
"488","Rodewisch",14523360,"08228"
"489","Schiltach",8325051,"77761"
"490","Iserlohn",5962024,"58642"
"491","Rottenburg a.d. Laaber",9274176,"84056"
"492","Egenhofen",9179117,"82281"
"493","Sande",3455014,"26452"
"494","Aachen",5334002,"52068"
"495","Zülpich",5366044,"53909"
"496","Nittendorf",9375175,"93152"
"497","Stuttgart",8111000,"70327"
"498","Uebigau-Wahrenbrück",12062500,"04924"
"499","Driedorf",6532007,"35759"
"500","Bad Kreuznach",7133006,"55545"
"501","Sulzbach/Saar",10041518,"66280"
"502","Aholming",9271111,"94527"
"503","Dielheim",8226010,"69234"
"504","Weeze",5154064,"47652"
"505","Wolfenbüttel",3158037,"38304"
"506","Berlin",11000000,"12526"
"507","Reichertshausen",9186146,"85293"
"508","Risum-Lindholm",1054109,"25920"
"509","Ulmen",7135083,"56766"
"510","Tübingen",8416041,"72072"
"511","Laufach",9671139,"63846"
"512","Heinsberg",5370016,"52525"
"513","Glött",9773133,"89353"
